Pair Identifier,Class,Head (m),Separation (km),Slope (%),Volume (GL),Energy (GWh),Storage time (h),Combined water to rock ratio,Upper Identifier,Upper elevation (m),Upper latitude,Upper longitude,Upper reservoir area (ha),Upper reservoir volume (GL),Upper dam height (m),Upper dam length (m),Upper dam volume (GL),Upper water to rock ratio,Lower Identifier,Lower elevation (m),Lower latitude,Lower longitude,Lower reservoir area (ha),Lower reservoir volume (GL),Lower dam height (m),Lower dam length (m),Lower dam volume (GL),Lower water to rock ratio,Combined water area (ha),Energy storage MWh per ha
s22_e148_RES6799 & s22_e148_RES11495,A,699,4.19,17,33.8,50,6,13.0,s22_e148_RES6799,860,-21.0822,148.5194,333,35.1,26.2,263,0.43,81.8,s22_e148_RES11495,161,-21.1422,148.5431,223,33.8,33.3,1666,2.19,15.4,556,89
s31_e151_RES77238 & s31_e151_RES73185,A,790,4.21,19,30.4,50,6,5.2,s31_e151_RES77238,1090,-30.9553,151.8794,158,30.4,41.5,1826,2.59,11.7,s31_e151_RES73185,300,-30.9153,151.95,120,30.6,63.1,481,3.22,9.5,278,179
s22_e148_RES3221 & s22_e148_RES10309,B,779,4.55,17,30.6,50,6,4.2,s22_e148_RES3221,920,-21.045,148.5717,179,32.0,37.9,1780,2.39,13.4,s22_e148_RES10309,141,-21.1222,148.5758,136,30.6,43.4,1854,4.99,6.1,315,158
s22_e148_RES7915 & s22_e148_RES11430,B,740,6.71,11,32.4,50,6,3.9,s22_e148_RES7915,850,-21.0933,148.5069,117,32.4,53.8,3588,5.37,6.0,s22_e148_RES11430,110,-21.1408,148.5997,361,32.5,22.7,3290,3.02,10.8,478,104
s22_e148_RES28386 & s22_e148_RES24170,B,473,4.76,10,49.9,50,6,10.2,s22_e148_RES28386,553,-21.3753,148.7236,313,49.9,45.6,4036,3.82,13.1,s22_e148_RES24170,80,-21.3278,148.7844,498,50.2,22.2,1084,1.06,47.5,811,61
s20_e146_RES15887 & s20_e146_RES8269,B,480,3.34,14,50.2,50,6,7.2,s20_e146_RES15887,550,-19.4394,146.4914,666,50.2,18.6,782,0.37,134.8,s20_e146_RES8269,70,-19.3414,146.5292,452,50.3,21.0,10611,6.65,7.6,1118,44
s20_e146_RES18293 & s20_e146_RES17857,B,420,3.61,12,56.5,50,6,11.9,s20_e146_RES18293,490,-19.4953,146.5522,381,56.5,48.4,1372,2.97,19.0,s20_e146_RES17857,70,-19.4856,146.6478,676,57.2,24.0,3394,1.81,31.6,1057,47
s20_e146_RES15851 & s20_e146_RES11483,B,460,3.05,15,52.2,50,6,5.4,s20_e146_RES15851,540,-19.4383,146.5336,553,54.2,20.1,4451,2.62,20.7,s20_e146_RES11483,80,-19.3819,146.5875,274,52.2,39.6,3498,7.09,7.4,827,60
s42_e147_RES102069 & s42_e147_RES99068,B,760,6.44,12,31.0,50,6,4.1,s42_e147_RES102069,980,-41.9969,147.1886,121,31.0,46.8,4209,7.25,4.3,s42_e147_RES99068,220,-41.9692,147.2761,1058,34.8,12.3,1167,0.4,86.7,1179,42
s42_e147_RES41535 & s42_e147_RES49587,B,750,6.96,11,31.8,50,6,3.9,s42_e147_RES41535,1011,-41.4,147.3897,157,31.8,32.9,6051,6.04,5.3,s42_e147_RES49587,261,-41.4508,147.3203,176,32.1,58.7,818,2.07,15.6,333,150
