Pair Identifier,Class,Head (m),Separation (km),Slope (%),Volume (GL),Energy (GWh),Storage time (h),Combined water to rock ratio,Upper Identifier,Upper elevation (m),Upper latitude,Upper longitude,Upper reservoir area (ha),Upper reservoir volume (GL),Upper dam height (m),Upper dam length (m),Upper dam volume (GL),Upper water to rock ratio,Lower Identifier,Lower elevation (m),Lower latitude,Lower longitude,Lower reservoir area (ha),Lower reservoir volume (GL),Lower dam height (m),Lower dam length (m),Lower dam volume (GL),Lower water to rock ratio,Combined water area (ha),Energy storage MWh per ha
s43_e146_RES27488 & s43_e146_RES33976,E,413,8.11,5,174.2,150,18,2.5,s43_e146_RES27488,533,-42.3594,146.6178,334,176.3,83.7,10199,57.9,3.0,s43_e146_RES33976,120,-42.4472,146.6919,520,174.2,66.8,1715,13.36,13.0,854,175
s43_e146_RES41997 & s43_e146_RES44085,E,580,10.46,6,125.1,150,18,1.6,s43_e146_RES41997,670,-42.5439,146.5814,164,126.1,97.3,5624,65.72,1.9,s43_e146_RES44085,90,-42.5686,146.7539,428,125.1,70.2,2087,11.32,11.1,592,253
s43_e146_RES60315 & s43_e146_RES56494,E,560,9.51,6,126.9,150,18,1.7,s43_e146_RES60315,581,-42.8153,146.8661,213,127.6,94.8,6194,46.06,2.8,s43_e146_RES56494,21,-42.7611,146.9878,362,126.9,87.7,5170,28.36,4.5,575,260
s43_e146_RES23606 & s43_e146_RES30410,E,461,8.21,6,156.0,150,18,2.0,s43_e146_RES23606,621,-42.3172,146.6728,354,156.3,89.1,13960,46.95,3.3,s43_e146_RES30410,160,-42.3969,146.7756,487,156.0,80.3,4818,30.99,5.0,841,178
s43_e146_RES5278 & s43_e146_RES13489,E,360,5.89,6,198.9,150,18,2.4,s43_e146_RES5278,911,-42.1003,146.7942,360,198.9,97.5,7258,63.36,3.1,s43_e146_RES13489,551,-42.2028,146.8956,1007,199.7,98.3,3574,17.99,11.1,1367,109
s31_e139_RES2104 & s31_e139_RES1405,E,373,6.7,6,192.1,150,18,2.8,s31_e139_RES2104,603,-30.0425,139.3758,289,193.5,98.5,9161,50.37,3.8,s31_e139_RES1405,230,-30.0317,139.5061,714,192.1,82.5,5380,19.74,9.7,1003,149
s31_e139_RES7146 & s31_e139_RES10424,E,372,6.1,6,193.3,150,18,2.6,s31_e139_RES7146,572,-30.1294,139.3242,381,193.6,80.4,9200,47.4,4.1,s31_e139_RES10424,200,-30.1817,139.4311,468,193.3,97.5,3688,28.35,6.8,849,176
s17_e144_RES2035 & s16_e144_RES41311,E,280,4.15,7,256.9,150,18,3.6,s17_e144_RES2035,490,-16.0247,144.8486,420,256.9,85.9,8834,66.5,3.9,s16_e144_RES41311,210,-15.9581,144.8942,1059,257.1,63.4,1865,4.31,59.6,1479,101
s17_e144_RES24286 & s17_e144_RES31449,E,449,6.37,7,160.6,150,18,2.1,s17_e144_RES24286,881,-16.3406,144.7797,211,162.3,88.5,8039,74.56,2.2,s17_e144_RES31449,432,-16.4214,144.7994,667,160.6,52.4,3059,4.1,39.2,878,170
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
