Pair Identifier,Class,Head (m),Separation (km),Slope (%),Volume (GL),Energy (GWh),Storage time (h),Combined water to rock ratio,Upper Identifier,Upper elevation (m),Upper latitude,Upper longitude,Upper reservoir area (ha),Upper reservoir volume (GL),Upper dam height (m),Upper dam length (m),Upper dam volume (GL),Upper water to rock ratio,Lower Identifier,Lower elevation (m),Lower latitude,Lower longitude,Lower reservoir area (ha),Lower reservoir volume (GL),Lower dam height (m),Lower dam length (m),Lower dam volume (GL),Lower water to rock ratio,Combined water area (ha),Energy storage MWh per ha
s37_e149_RES45232 & s37_e149_RES44455,B,762,6.53,12,9.6,15,6,16.0,s37_e149_RES45232,962,-36.6217,149.4361,86,9.6,15.4,927,0.31,31.2,s37_e149_RES44455,200,-36.6119,149.5417,131,9.6,15.4,575,0.29,32.9,217,69
s37_e149_RES46346 & s37_e149_RES44719,B,672,4.48,15,10.7,15,6,5.1,s37_e149_RES46346,892,-36.6342,149.4464,79,11.0,31.8,742,0.91,12.1,s37_e149_RES44719,220,-36.6153,149.5086,85,10.7,28.8,624,1.2,8.9,164,91
s37_e149_RES38430 & s37_e149_RES42000,B,788,8.54,9,9.3,15,6,16.7,s37_e149_RES38430,1080,-36.5228,149.4722,84,9.3,14.0,792,0.24,38.8,s37_e149_RES42000,292,-36.5822,149.5558,73,9.4,22.8,272,0.32,29.2,157,95
s37_e149_RES41200 & s37_e149_RES43905,B,731,5.14,14,9.7,15,6,3.2,s37_e149_RES41200,991,-36.5708,149.4364,71,9.7,33.0,433,0.84,11.5,s37_e149_RES43905,260,-36.6056,149.4925,55,9.9,42.3,828,2.24,4.4,126,119
s37_e149_RES62791 & s37_e149_RES67213,B,600,4.72,13,12.1,15,6,5.2,s37_e149_RES62791,830,-36.8578,149.4469,78,12.5,28.8,1068,0.91,13.8,s37_e149_RES67213,230,-36.915,149.4906,80,12.1,35.8,827,1.45,8.4,158,94
s37_e149_RES39986 & s37_e149_RES43746,B,790,7.95,10,8.9,15,6,3.5,s37_e149_RES39986,1010,-36.5508,149.4472,56,8.9,33.7,1170,1.5,6.0,s37_e149_RES43746,220,-36.6039,149.5272,70,9.0,28.9,1503,1.03,8.8,126,119
s43_e147_RES34 & s42_e147_RES99068,B,750,6.89,11,9.2,15,6,4.8,s43_e147_RES34,970,-42.0008,147.1889,76,9.2,33.0,1312,1.7,5.4,s42_e147_RES99068,220,-41.9692,147.2761,335,10.0,9.6,1122,0.24,41.1,411,36
s43_e147_RES65022 & s43_e147_RES63345,B,570,5.8,10,12.6,15,6,7.4,s43_e147_RES65022,650,-42.6714,147.0575,62,12.6,41.7,664,1.67,7.5,s43_e147_RES63345,80,-42.6564,147.135,232,14.7,12.1,99,0.05,302.9,294,51
s29_e152_RES71847 & s29_e152_RES73560,B,519,4.3,12,13.5,15,6,12.5,s29_e152_RES71847,900,-28.7067,152.1286,220,13.5,16.9,1167,0.46,29.2,s29_e152_RES73560,381,-28.7236,152.1867,97,14.2,40.1,236,0.65,22.0,317,47
s29_e152_RES66812 & s29_e152_RES68331,B,530,4.02,13,13.9,15,6,8.9,s29_e152_RES66812,800,-28.6614,152.1844,88,14.0,31.2,1488,1.19,11.7,s29_e152_RES68331,270,-28.6728,152.2478,137,13.9,22.3,317,0.38,36.3,225,66
s29_e152_RES67203 & s29_e152_RES72057,B,539,5.53,10,13.1,15,6,15.8,s29_e152_RES67203,881,-28.6642,152.1378,223,13.1,15.9,143,0.1,131.5,s29_e152_RES72057,342,-28.7086,152.205,84,13.4,34.9,398,0.75,17.9,307,48
s29_e152_RES64972 & s29_e152_RES64721,B,562,7.22,8,12.6,15,6,21.6,s29_e152_RES64972,812,-28.6439,152.1739,156,12.6,21.8,846,0.35,36.0,s29_e152_RES64721,250,-28.6417,152.2714,221,14.1,14.1,348,0.26,53.9,377,39
s29_e152_RES80142 & s29_e152_RES77578,B,461,4.15,11,15.1,15,6,7.7,s29_e152_RES80142,941,-28.7861,152.1194,185,15.1,27.1,745,0.87,17.4,s29_e152_RES77578,480,-28.7603,152.1686,94,15.9,39.9,757,1.15,13.8,279,53
s29_e152_RES37603 & s29_e152_RES42717,B,417,2.71,15,17.2,15,6,6.3,s29_e152_RES37603,821,-28.3831,152.3814,104,17.2,38.6,1469,2.69,6.4,s29_e152_RES42717,404,-28.4325,152.3922,266,18.1,8.0,197,0.06,324.6,370,40
s21_e148_RES28617 & s21_e148_RES28532,B,623,3.26,19,11.1,15,6,5.5,s21_e148_RES28617,713,-20.7192,148.4281,106,11.1,24.6,2010,0.97,11.4,s21_e148_RES28532,90,-20.7181,148.4872,126,11.3,21.2,1819,1.05,10.8,232,64
s21_e148_RES31975 & s21_e148_RES29814,B,582,3.24,18,11.8,15,6,6.5,s21_e148_RES31975,662,-20.7631,148.4528,111,11.8,33.4,1110,1.19,10.0,s21_e148_RES29814,80,-20.7358,148.5022,163,12.5,16.7,1181,0.67,18.5,274,54
s21_e148_RES41199 & s21_e148_RES39862,B,539,2.71,20,12.9,15,6,4.8,s21_e148_RES41199,650,-20.8642,148.5819,82,13.3,51.6,1365,2.47,5.4,s21_e148_RES39862,111,-20.8494,148.6136,137,12.9,22.1,348,0.28,45.8,219,68
s21_e148_RES31185 & s21_e148_RES27795,B,609,5.64,11,11.6,15,6,7.5,s21_e148_RES31185,670,-20.7528,148.4489,78,11.9,29.7,1353,1.06,11.2,s21_e148_RES27795,61,-20.7089,148.5197,221,11.6,11.2,1964,0.52,22.5,299,50
s21_e148_RES41430 & s21_e148_RES36113,B,511,4.15,12,13.8,15,6,6.5,s21_e148_RES41430,591,-20.8669,148.5683,93,13.8,44.0,364,1.13,12.2,s21_e148_RES36113,80,-20.8067,148.6158,160,13.8,18.2,1580,1.0,13.8,253,59
s21_e148_RES32695 & s21_e148_RES31769,B,563,3.77,15,12.2,15,6,4.6,s21_e148_RES32695,663,-20.7703,148.4522,124,12.9,29.3,948,0.99,13.1,s21_e148_RES31769,100,-20.7606,148.5011,103,12.2,26.7,1774,1.72,7.1,227,66
s21_e148_RES39051 & s21_e148_RES36450,B,617,4.02,15,11.3,15,6,3.1,s21_e148_RES39051,720,-20.8406,148.5481,50,11.7,49.2,1312,2.81,4.2,s21_e148_RES36450,103,-20.8108,148.5975,126,11.3,17.6,1775,0.88,12.9,176,85
s21_e148_RES36848 & s21_e148_RES32773,B,440,3.18,14,15.6,15,6,6.5,s21_e148_RES36848,530,-20.8158,148.5147,130,15.6,35.4,1572,1.97,7.9,s21_e148_RES32773,90,-20.7711,148.5561,215,15.8,16.1,630,0.42,37.6,345,43
s21_e148_RES21181 & s21_e148_RES18417,B,500,3.31,15,13.8,15,6,4.4,s21_e148_RES21181,640,-20.6136,148.3219,120,13.8,34.7,2726,2.35,5.9,s21_e148_RES18417,140,-20.5717,148.3381,145,14.3,28.7,1263,0.8,17.9,265,56
s38_e145_RES42072 & s38_e145_RES35319,B,789,5.66,14,8.8,15,6,3.1,s38_e145_RES42072,1030,-37.3764,145.8064,49,8.8,45.3,750,1.81,4.9,s38_e145_RES35319,241,-37.3356,145.7317,87,9.1,24.9,986,1.04,8.7,136,110
s38_e145_RES49658 & s38_e145_RES60743,B,692,7.52,9,10.8,15,6,7.3,s38_e145_RES49658,1133,-37.43,145.8256,90,10.8,14.3,522,0.2,53.7,s38_e145_RES60743,441,-37.5058,145.7778,55,10.9,40.4,425,1.3,8.4,145,103
s38_e145_RES95381 & s38_e145_RES98522,B,510,3.6,14,14.5,15,6,5.9,s38_e145_RES95381,670,-37.9022,145.7922,48,14.5,50.3,331,1.48,9.7,s38_e145_RES98522,160,-37.9342,145.7461,66,14.6,39.1,403,0.97,15.1,114,131
s38_e145_RES43734 & s38_e145_RES30524,B,800,6.93,12,9.0,15,6,3.6,s38_e145_RES43734,1110,-37.3889,145.8317,49,9.1,36.8,997,1.52,6.0,s38_e145_RES30524,310,-37.3039,145.8469,49,9.0,35.4,511,1.01,8.9,98,153
s38_e145_RES44656 & s38_e145_RES37936,B,791,9.19,9,9.2,15,6,5.2,s38_e145_RES44656,1011,-37.3958,145.8111,58,9.3,38.0,843,1.51,6.2,s38_e145_RES37936,220,-37.3514,145.7069,184,9.2,8.8,1557,0.28,32.5,242,61
s38_e145_RES46291 & s38_e145_RES53730,B,791,7.67,10,9.3,15,6,3.3,s38_e145_RES46291,1091,-37.4083,145.8081,49,9.3,28.8,2057,1.88,5.0,s38_e145_RES53730,300,-37.4556,145.7267,87,9.3,20.7,1071,0.94,9.9,136,110
s42_e145_RES47550 & s42_e145_RES46049,B,452,1.85,24,16.0,15,6,6.2,s42_e145_RES47550,654,-41.8469,145.4803,84,16.0,35.8,2325,2.25,7.1,s42_e145_RES46049,202,-41.8175,145.4611,97,16.6,26.0,169,0.32,52.3,181,82
s42_e145_RES50653 & s43_e145_RES257,B,449,3.86,12,15.8,15,6,9.1,s42_e145_RES50653,651,-41.9917,145.5708,163,16.5,16.7,400,0.23,73.0,s43_e145_RES257,202,-42.0089,145.5183,67,15.8,57.6,283,1.52,10.4,230,65
s42_e145_RES20966 & s42_e146_RES10421,B,269,1.59,17,27.1,15,6,22.5,s42_e145_RES20966,351,-41.2789,145.9808,166,27.1,25.2,2287,1.2,22.5,s42_e146_RES10421,82,-41.2683,146.0561,706,67.3,0.2,23,0.0,66270.9,872,17
s38_e147_RES38443 & s38_e147_RES49853,B,800,4.46,18,8.8,15,6,4.4,s38_e147_RES38443,1210,-37.2319,147.2181,54,8.8,45.4,1176,1.5,5.8,s38_e147_RES49853,410,-37.2756,147.2689,52,9.3,36.8,210,0.51,18.4,106,141
s38_e147_RES50343 & s38_e147_RES54860,B,743,3.34,22,9.6,15,6,3.8,s38_e147_RES50343,1194,-37.2775,147.1919,63,9.6,38.9,1003,1.35,7.1,s38_e147_RES54860,451,-37.2947,147.1397,48,10.0,43.4,351,1.19,8.4,111,135
s38_e147_RES98707 & s38_e147_RES107717,B,761,5.01,15,9.4,15,6,3.1,s38_e147_RES98707,1191,-37.5017,147.0122,45,9.4,46.2,406,1.18,8.0,s38_e147_RES107717,430,-37.5572,147.0558,41,9.6,50.4,418,1.84,5.2,86,174
s38_e147_RES37761 & s38_e147_RES51259,B,760,6.22,12,9.4,15,6,3.7,s38_e147_RES37761,1260,-37.2289,147.2017,66,9.4,37.2,1275,1.14,8.3,s38_e147_RES51259,500,-37.2808,147.1539,41,10.0,52.6,394,1.51,6.6,107,140
s38_e147_RES25685 & s38_e147_RES25055,B,450,4.14,11,15.8,15,6,10.7,s38_e147_RES25685,1160,-37.1756,147.4844,120,15.8,36.6,444,0.8,19.8,s38_e147_RES25055,710,-37.1714,147.5553,152,16.3,21.7,962,0.7,23.2,272,55
s38_e147_RES75534 & s38_e147_RES83289,B,792,6.73,12,9.2,15,6,3.0,s38_e147_RES75534,1033,-37.3844,147.1822,42,9.2,49.5,1251,2.8,3.3,s38_e147_RES83289,241,-37.4206,147.26,85,9.4,19.7,301,0.26,36.5,127,118
s38_e147_RES34842 & s38_e147_RES48921,B,791,7.35,11,9.1,15,6,3.7,s38_e147_RES34842,1151,-37.2172,147.9258,48,9.2,40.2,727,1.39,6.6,s38_e147_RES48921,360,-37.2714,147.8608,54,9.1,39.3,486,1.06,8.6,102,147
s38_e147_RES25255 & s38_e147_RES25069,B,770,6.45,12,9.1,15,6,3.1,s38_e147_RES25255,1231,-37.1725,147.925,50,9.4,41.2,1196,2.08,4.5,s38_e147_RES25069,461,-37.1714,147.8306,73,9.1,32.5,456,0.89,10.2,123,121
s38_e147_RES57832 & s38_e147_RES56383,B,777,3.45,23,9.1,15,6,2.0,s38_e147_RES57832,1172,-37.3078,147.1792,30,9.1,51.6,1539,3.61,2.5,s38_e147_RES56383,395,-37.3008,147.1169,45,9.6,40.6,333,1.06,9.1,75,200
s38_e147_RES9514 & s38_e147_RES8160,B,630,2.72,23,11.3,15,6,2.4,s38_e147_RES9514,1231,-37.0681,147.9225,54,11.3,56.5,659,2.96,3.8,s38_e147_RES8160,601,-37.0567,147.8775,43,11.6,63.4,382,1.77,6.6,97,154
s38_e147_RES18255 & s38_e147_RES19349,B,800,4.66,17,8.8,15,6,2.2,s38_e147_RES18255,1330,-37.1339,147.9019,58,8.8,45.5,2780,2.34,3.7,s38_e147_RES19349,530,-37.1408,147.8467,47,8.9,38.2,813,1.69,5.3,105,142
s38_e147_RES65073 & s38_e147_RES79104,B,739,7.46,10,9.6,15,6,4.3,s38_e147_RES65073,1030,-37.3392,147.4856,57,9.6,37.4,1213,1.65,5.8,s38_e147_RES79104,291,-37.4011,147.4167,93,10.2,22.5,726,0.62,16.5,150,100
s38_e147_RES40762 & s38_e147_RES61893,B,731,7.76,9,9.9,15,6,5.2,s38_e147_RES40762,1151,-37.2408,147.3817,64,9.9,40.4,400,1.02,9.6,s38_e147_RES61893,420,-37.3242,147.385,61,10.2,28.8,468,0.91,11.1,125,120
s38_e147_RES46673 & s38_e147_RES58206,B,782,5.4,14,9.1,15,6,2.3,s38_e147_RES46673,1132,-37.2631,147.9464,42,9.1,46.4,832,2.23,4.1,s38_e147_RES58206,350,-37.3092,147.8897,50,9.1,41.8,591,1.78,5.1,92,163
s38_e147_RES39371 & s38_e147_RES57068,B,799,7.61,11,8.9,15,6,3.5,s38_e147_RES39371,1100,-37.2353,147.925,47,8.9,37.0,1262,1.86,4.8,s38_e147_RES57068,301,-37.3039,147.8628,76,8.9,31.5,462,0.67,13.4,123,121
s32_e152_RES38622 & s32_e152_RES35752,B,425,1.93,22,17.2,15,6,7.4,s32_e152_RES38622,616,-31.5947,152.4119,95,17.2,38.3,985,1.36,12.6,s32_e152_RES35752,191,-31.5672,152.4042,88,17.3,39.9,312,0.97,17.8,183,81
s32_e152_RES38793 & s32_e152_RES33301,B,442,3.97,11,15.8,15,6,11.1,s32_e152_RES38793,592,-31.5967,152.4244,133,15.8,32.3,325,0.68,23.2,s32_e152_RES33301,150,-31.5461,152.39,113,16.2,33.4,351,0.76,21.4,246,60
s32_e152_RES40014 & s32_e152_RES35494,B,368,3.37,11,19.4,15,6,22.6,s32_e152_RES40014,518,-31.6111,152.2925,233,19.4,9.6,264,0.09,205.3,s32_e152_RES35494,150,-31.5653,152.3422,164,20.4,31.6,444,0.8,25.4,397,37
s32_e152_RES41350 & s32_e152_RES47541,B,550,4.64,12,13.2,15,6,4.9,s32_e152_RES41350,610,-31.6294,152.4322,98,13.4,30.2,1420,1.59,8.4,s32_e152_RES47541,60,-31.7044,152.4542,111,13.2,25.2,1089,1.1,11.9,209,71
s33_e150_RES42065 & s33_e150_RES39087,B,719,9.76,7,10.3,15,6,13.5,s33_e150_RES42065,1040,-32.7019,150.2569,70,10.3,38.1,279,0.63,16.3,s33_e150_RES39087,321,-32.5956,150.2717,98,10.3,12.2,502,0.13,78.4,168,89
s24_e131_RES16219 & s24_e132_RES13318,B,380,1.23,31,18.6,15,6,5.3,s24_e131_RES16219,1150,-23.6094,131.9656,136,18.7,32.1,1595,1.87,10.0,s24_e132_RES13318,770,-23.5792,132.0258,148,18.6,32.1,628,1.66,11.2,284,52
s31_e152_RES30174 & s31_e152_RES31932,B,683,5.49,12,10.7,15,6,10.4,s31_e152_RES30174,734,-30.3964,152.7175,94,11.0,21.5,283,0.29,38.5,s31_e152_RES31932,51,-30.43,152.7594,77,10.7,30.5,402,0.75,14.2,171,87
s31_e152_RES27786 & s31_e152_RES31608,B,728,3.57,20,10.0,15,6,3.0,s31_e152_RES27786,840,-30.3658,152.635,49,10.0,50.7,530,1.86,5.4,s31_e152_RES31608,112,-30.4231,152.6394,45,10.4,47.3,669,1.51,6.9,94,159
s31_e152_RES27867 & s31_e152_RES31420,B,730,8.27,9,9.8,15,6,16.8,s31_e152_RES27867,750,-30.3667,152.7197,227,10.4,12.3,1565,0.38,27.0,s31_e152_RES31420,20,-30.4183,152.8464,219,9.8,9.6,796,0.22,44.1,446,33
s31_e152_RES61179 & s31_e152_RES55899,B,733,6.09,12,9.6,15,6,4.4,s31_e152_RES61179,873,-30.8308,152.2425,102,10.3,28.8,1355,0.85,12.1,s31_e152_RES55899,140,-30.7664,152.2828,56,9.6,35.5,579,1.39,6.9,158,94
s31_e152_RES59009 & s31_e152_RES54761,B,791,4.82,16,9.2,15,6,2.3,s31_e152_RES59009,931,-30.7997,152.1908,41,9.2,41.8,1708,3.85,2.4,s31_e152_RES54761,140,-30.7522,152.1894,111,9.3,19.4,230,0.18,52.4,152,98
s31_e152_RES22806 & s31_e152_RES30399,B,763,9.09,8,9.3,15,6,18.7,s31_e152_RES22806,793,-30.3144,152.7864,84,9.3,26.7,1164,0.49,19.0,s31_e152_RES30399,30,-30.4006,152.8603,325,19.4,4.1,172,0.02,1165.4,409,36
s31_e152_RES23183 & s31_e152_RES29260,B,559,4.61,12,12.8,15,6,5.2,s31_e152_RES23183,600,-30.3183,152.9028,58,13.2,42.8,1448,2.28,5.8,s31_e152_RES29260,41,-30.3842,152.8872,161,12.8,11.1,1283,0.27,46.9,219,68
s31_e151_RES76997 & s31_e151_RES73356,B,770,3.33,23,9.4,15,6,3.7,s31_e151_RES76997,1080,-30.9531,151.8978,80,9.4,21.6,2700,1.47,6.4,s31_e151_RES73356,310,-30.9167,151.9425,55,9.5,38.7,349,1.08,8.8,135,111
s31_e151_RES59878 & s31_e151_RES61802,B,521,1.45,36,14.0,15,6,5.1,s31_e151_RES59878,972,-30.7692,151.7853,78,14.0,39.3,495,1.21,11.6,s31_e151_RES61802,451,-30.7875,151.8147,56,14.2,57.6,252,1.57,9.1,134,111
s31_e151_RES55155 & s31_e151_RES60143,B,706,5.69,12,9.7,15,6,10.3,s31_e151_RES55155,1060,-30.7172,151.8275,140,9.7,12.5,2115,0.4,24.3,s31_e151_RES60143,354,-30.7719,151.8794,62,10.6,35.3,247,0.6,17.8,202,74
s31_e151_RES55113 & s31_e151_RES58784,B,790,6.47,12,9.3,15,6,4.7,s31_e151_RES55113,1070,-30.7167,151.8528,87,9.3,20.1,2504,1.36,6.8,s31_e151_RES58784,280,-30.7578,151.9325,61,9.5,33.2,296,0.64,14.8,148,101
s31_e151_RES56383 & s31_e151_RES60419,B,650,4.83,13,10.9,15,6,5.4,s31_e151_RES56383,1040,-30.7339,151.8219,108,10.9,27.4,2844,1.09,10.1,s31_e151_RES60419,390,-30.7744,151.8544,61,11.3,43.6,265,0.97,11.7,169,88
s31_e151_RES43730 & s31_e151_RES46107,B,462,1.37,34,15.9,15,6,4.4,s31_e151_RES43730,952,-30.5742,151.9161,140,16.0,30.0,1348,2.43,6.6,s31_e151_RES46107,490,-30.5997,151.9128,72,15.9,49.7,309,1.16,13.7,212,70
s31_e151_RES68131 & s31_e151_RES74511,B,789,8.65,9,9.0,15,6,8.7,s31_e151_RES68131,1060,-30.8622,151.8544,196,9.0,11.3,1051,0.15,60.2,s31_e151_RES74511,271,-30.9272,151.9689,60,9.1,37.2,357,0.9,10.2,256,58
s31_e151_RES47454 & s31_e151_RES49046,B,547,1.46,37,12.7,15,6,3.0,s31_e151_RES47454,959,-30.6142,151.89,83,12.7,37.2,3305,3.02,4.2,s31_e151_RES49046,412,-30.6336,151.9006,65,13.8,46.0,375,1.28,10.7,148,101
s37_e147_RES75661 & s37_e147_RES69201,B,653,4.08,16,11.3,15,6,9.2,s37_e147_RES75661,1183,-36.4922,147.8811,79,11.4,28.9,415,0.39,29.1,s37_e147_RES69201,530,-36.4642,147.8314,69,11.3,36.7,391,0.84,13.4,148,101
s37_e147_RES31811 & s37_e147_RES35200,B,591,3.84,15,11.8,15,6,4.4,s37_e147_RES31811,892,-36.2594,147.4775,107,11.9,24.8,1431,1.04,11.4,s37_e147_RES35200,301,-36.2792,147.4228,87,11.8,32.9,997,1.68,7.0,194,77
