Pair Identifier,Class,Head (m),Separation (km),Slope (%),Volume (GL),Energy (GWh),Storage time (h),Combined water to rock ratio,Upper Identifier,Upper elevation (m),Upper latitude,Upper longitude,Upper reservoir area (ha),Upper reservoir volume (GL),Upper dam height (m),Upper dam length (m),Upper dam volume (GL),Upper water to rock ratio,Lower Identifier,Lower elevation (m),Lower latitude,Lower longitude,Lower reservoir area (ha),Lower reservoir volume (GL),Lower dam height (m),Lower dam length (m),Lower dam volume (GL),Lower water to rock ratio,Combined water area (ha),Energy storage MWh per ha
s22_e148_RES9511 & s22_e148_RES11495,A,679,2.86,24,10.9,15,6,8.8,s22_e148_RES9511,840,-21.1128,148.5058,126,10.9,32.6,693,0.63,17.4,s22_e148_RES11495,161,-21.1422,148.5431,106,10.9,19.8,619,0.61,17.8,232,64
s22_e148_RES7234 & s22_e148_RES10309,A,731,3.43,21,9.5,15,6,6.2,s22_e148_RES7234,872,-21.0869,148.5275,122,9.8,10.3,1288,0.23,42.0,s22_e148_RES10309,141,-21.1222,148.5758,75,9.5,25.0,1109,1.31,7.2,197,76
s31_e152_RES29699 & s31_e152_RES32094,A,709,3.36,21,10.1,15,6,9.5,s31_e152_RES29699,770,-30.3906,152.6864,97,10.2,19.4,1084,0.8,12.7,s31_e152_RES32094,61,-30.4331,152.7094,148,10.1,14.0,716,0.27,37.3,245,61
s31_e151_RES77238 & s31_e151_RES75785,A,689,2.12,32,10.0,15,6,4.0,s31_e151_RES77238,1090,-30.9553,151.8794,91,10.0,26.2,613,0.81,12.5,s31_e151_RES75785,401,-30.9408,151.9225,35,10.8,61.9,304,1.84,5.9,126,119
s17_e144_RES10326 & s17_e144_RES7501,A,650,2.96,22,10.9,15,6,6.7,s17_e144_RES10326,1040,-16.1422,144.9817,52,11.0,43.8,368,1.32,8.3,s17_e144_RES7501,390,-16.1056,144.9442,84,10.9,25.4,214,0.32,33.8,136,110
s22_e148_RES7495 & s22_e148_RES11320,B,740,4.76,16,9.7,15,6,7.1,s22_e148_RES7495,870,-21.0892,148.5253,114,9.7,14.6,2300,0.49,19.8,s22_e148_RES11320,130,-21.1378,148.5675,129,10.0,20.0,1142,0.9,11.1,243,61
s22_e148_RES3221 & s22_e148_RES7716,B,800,6.21,13,9.0,15,6,8.5,s22_e148_RES3221,920,-21.045,148.5717,83,9.3,22.6,854,0.39,23.6,s22_e148_RES7716,120,-21.0911,148.6353,97,9.0,18.1,1088,0.68,13.3,180,83
s22_e148_RES5478 & s22_e148_RES11269,B,789,5.99,13,9.0,15,6,5.8,s22_e148_RES5478,910,-21.0697,148.5506,65,9.4,22.9,726,0.48,19.5,s22_e148_RES11269,121,-21.1367,148.5831,119,9.0,14.7,2137,1.09,8.2,184,81
s22_e148_RES6627 & s22_e148_RES2200,B,610,4.75,13,11.5,15,6,3.9,s22_e148_RES6627,940,-21.0803,148.4686,84,11.5,35.9,2393,1.44,8.0,s22_e148_RES2200,330,-21.0289,148.4328,76,11.6,36.7,780,1.5,7.7,160,93
s22_e148_RES27351 & s22_e148_RES24170,B,490,5.43,9,14.4,15,6,10.3,s22_e148_RES27351,570,-21.3622,148.7192,162,14.7,27.1,1779,1.18,12.5,s22_e148_RES24170,80,-21.3278,148.7844,194,14.4,11.8,755,0.25,57.0,356,42
s20_e146_RES14616 & s20_e146_RES8269,B,490,3.9,13,14.2,15,6,8.1,s20_e146_RES14616,560,-19.4156,146.4997,233,14.2,9.9,1865,0.39,35.9,s20_e146_RES8269,70,-19.3414,146.5292,282,15.2,12.2,6946,1.46,10.4,515,29
s20_e146_RES17660 & s20_e146_RES17857,B,450,4.22,11,15.9,15,6,10.6,s20_e146_RES17660,520,-19.48,146.5672,161,15.9,26.1,1743,0.98,16.2,s20_e146_RES17857,70,-19.4856,146.6478,265,15.9,16.0,1400,0.52,30.6,426,35
s20_e146_RES20835 & s20_e146_RES17993,B,530,4.68,11,13.1,15,6,6.0,s20_e146_RES20835,600,-19.5456,146.6086,92,13.1,34.4,661,1.13,11.7,s20_e146_RES17993,70,-19.4889,146.6481,209,13.7,16.5,3909,1.12,12.2,301,49
s20_e146_RES15382 & s20_e146_RES11483,B,470,3.35,14,14.8,15,6,5.8,s20_e146_RES15382,550,-19.4303,146.5561,142,15.2,17.1,3210,0.9,16.9,s20_e146_RES11483,80,-19.3819,146.5875,132,14.8,22.6,1907,1.66,8.9,274,54
s42_e147_RES102069 & s42_e147_RES99068,B,760,6.73,11,9.2,15,6,5.8,s42_e147_RES102069,980,-41.9969,147.1886,73,9.2,28.0,1511,1.37,6.8,s42_e147_RES99068,220,-41.9692,147.2761,335,10.0,9.6,1122,0.24,41.0,408,36
s42_e147_RES41535 & s42_e147_RES48591,B,731,6.98,10,9.6,15,6,6.7,s42_e147_RES41535,1011,-41.4,147.3897,109,9.7,18.5,2555,0.94,10.2,s42_e147_RES48591,280,-41.4444,147.32,67,9.6,37.2,170,0.5,19.0,176,85
s42_e147_RES100859 & s42_e147_RES95054,B,770,7.59,10,9.1,15,6,3.9,s42_e147_RES100859,970,-41.9853,147.1689,65,9.1,23.4,1960,1.68,5.5,s42_e147_RES95054,200,-41.9361,147.2656,201,9.1,16.0,2783,0.63,14.3,266,56
s42_e147_RES47384 & s42_e147_RES51627,B,350,2.66,13,19.7,15,6,12.6,s42_e147_RES47384,800,-41.4361,147.6797,214,21.4,21.5,1080,0.68,31.3,s42_e147_RES51627,450,-41.4664,147.6017,193,19.7,25.5,1358,0.93,21.2,407,36
s42_e147_RES34800 & s42_e147_RES27921,B,550,3.67,15,13.1,15,6,3.8,s42_e147_RES34800,841,-41.3536,147.6781,77,13.1,30.4,3312,3.28,4.0,s42_e147_RES27921,291,-41.2931,147.6994,157,13.6,16.3,263,0.15,88.9,234,64
s42_e147_RES33650 & s42_e148_RES5034,B,580,4.01,14,12.5,15,6,7.8,s42_e147_RES33650,701,-41.3411,147.9517,101,12.5,29.0,2996,1.61,7.8,s42_e148_RES5034,121,-41.2828,148.0425,429,29.3,3.3,108,0.01,3737.4,530,28
s36_e149_RES39827 & s36_e149_RES41428,B,600,5.3,11,11.8,15,6,9.4,s36_e149_RES39827,760,-35.6211,149.7183,172,11.8,17.9,400,0.25,48.0,s36_e149_RES41428,160,-35.6353,149.7978,156,12.1,21.5,2723,1.03,11.8,328,45
s36_e149_RES55027 & s36_e149_RES54764,B,570,6.41,9,12.3,15,6,10.3,s36_e149_RES55027,750,-35.77,149.675,142,12.3,16.5,503,0.26,48.1,s36_e149_RES54764,180,-35.7675,149.7892,87,13.0,39.0,341,0.99,13.1,229,65
s36_e149_RES36119 & s36_e149_RES47433,B,570,6.21,9,12.7,15,6,8.2,s36_e149_RES36119,701,-35.5864,149.8403,136,12.7,19.5,3630,1.4,9.1,s36_e149_RES47433,131,-35.6894,149.8411,192,13.0,12.8,434,0.16,81.0,328,45
s35_e150_RES32201 & s35_e150_RES32917,B,650,5.82,11,11.3,15,6,11.3,s35_e150_RES32201,690,-34.5625,150.6025,102,11.3,10.4,561,0.18,61.6,s35_e150_RES32917,40,-34.5775,150.7083,121,11.3,19.6,1015,0.81,13.8,223,67
s35_e150_RES13785 & s35_e150_RES9702,B,598,4.78,12,12.1,15,6,7.4,s35_e150_RES13785,810,-34.3272,150.0242,68,12.1,36.9,1677,1.51,8.0,s35_e150_RES9702,212,-34.2661,150.095,144,12.4,17.9,231,0.12,100.2,212,70
s35_e150_RES36273 & s35_e150_RES42475,B,531,5.5,10,13.6,15,6,15.4,s35_e150_RES36273,631,-34.6222,150.5764,192,13.6,10.4,1100,0.29,47.4,s35_e150_RES42475,100,-34.6989,150.5981,127,14.1,19.1,588,0.61,22.9,319,47
s35_e150_RES35162 & s35_e150_RES32848,B,561,5.05,11,12.3,15,6,6.6,s35_e150_RES35162,581,-34.6078,150.6536,139,12.3,16.0,2750,1.22,10.1,s35_e150_RES32848,20,-34.5758,150.7403,159,12.6,18.1,979,0.66,19.2,298,50
