Pair Identifier,Class,Head (m),Separation (km),Slope (%),Volume (GL),Energy (GWh),Storage time (h),Combined water to rock ratio,Upper Identifier,Upper elevation (m),Upper latitude,Upper longitude,Upper reservoir area (ha),Upper reservoir volume (GL),Upper dam height (m),Upper dam length (m),Upper dam volume (GL),Upper water to rock ratio,Lower Identifier,Lower elevation (m),Lower latitude,Lower longitude,Lower reservoir area (ha),Lower reservoir volume (GL),Lower dam height (m),Lower dam length (m),Lower dam volume (GL),Lower water to rock ratio,Combined water area (ha),Energy storage MWh per ha
s22_e148_RES6799 & s22_e148_RES11495,A,699,4.19,17,33.8,50,18,13.0,s22_e148_RES6799,860,-21.0822,148.5194,333,35.1,26.2,263,0.43,81.8,s22_e148_RES11495,161,-21.1422,148.5431,223,33.8,33.3,1666,2.19,15.4,556,89
s22_e148_RES3221 & s22_e148_RES11320,A,790,7.35,11,30.2,50,18,6.4,s22_e148_RES3221,920,-21.045,148.5717,179,31.6,37.7,1780,2.39,13.2,s22_e148_RES11320,130,-21.1378,148.5675,232,30.2,30.8,1292,2.42,12.5,411,121
s22_e148_RES14430 & s22_e148_RES11468,A,691,9.26,7,33.2,50,18,9.5,s22_e148_RES14430,791,-21.2039,148.5239,247,34.5,37.8,1905,1.67,20.7,s22_e148_RES11468,100,-21.1417,148.6272,412,33.2,17.6,2894,1.88,17.7,659,75
s22_e148_RES28386 & s22_e148_RES23478,A,482,5.39,9,48.9,50,18,12.1,s22_e148_RES28386,553,-21.3753,148.7236,313,48.9,45.3,4036,3.66,13.4,s22_e148_RES23478,71,-21.3197,148.8342,577,50.1,18.0,1501,0.41,123.3,890,56
s22_e148_RES23069 & s22_e148_RES22298,A,429,7.25,6,54.5,50,18,14.8,s22_e148_RES23069,680,-21.3147,148.5703,370,54.5,44.7,835,2.43,22.5,s22_e148_RES22298,251,-21.3064,148.6736,373,56.3,50.5,413,1.29,43.6,743,67
s22_e148_RES20905 & s22_e148_RES18577,A,479,7.64,6,49.4,50,18,10.4,s22_e148_RES20905,760,-21.2917,148.5306,249,49.9,41.8,1100,1.52,33.0,s22_e148_RES18577,281,-21.2667,148.6322,254,49.4,55.7,804,3.27,15.1,503,99
s20_e146_RES15887 & s20_e146_RES7322,A,490,4.64,11,48.4,50,18,11.0,s20_e146_RES15887,550,-19.4394,146.4914,666,48.8,18.4,782,0.35,141.1,s20_e146_RES7322,60,-19.3244,146.5144,483,48.4,28.9,6537,4.07,11.9,1149,43
s20_e146_RES18293 & s20_e146_RES17857,A,420,3.61,12,56.5,50,18,11.9,s20_e146_RES18293,490,-19.4953,146.5522,381,56.5,48.4,1372,2.97,19.0,s20_e146_RES17857,70,-19.4856,146.6478,676,57.2,24.0,3394,1.81,31.6,1057,47
s20_e146_RES15623 & s20_e146_RES7492,A,480,5.62,9,48.9,50,18,7.7,s20_e146_RES15623,540,-19.4342,146.5347,651,49.4,19.0,3474,1.6,30.8,s20_e146_RES7492,60,-19.3289,146.5533,582,48.9,17.5,13515,4.77,10.3,1233,40
s42_e147_RES30786 & s42_e147_RES14098,A,399,6.81,6,60.5,50,18,35.2,s42_e147_RES30786,570,-41.3178,147.4628,581,60.5,19.9,641,0.38,157.7,s42_e147_RES14098,171,-41.2033,147.4683,366,62.2,28.6,1121,1.37,45.4,947,52
