Pair Identifier,Class,Head (m),Separation (km),Slope (%),Volume (GL),Energy (GWh),Storage time (h),Combined water to rock ratio,Upper Identifier,Upper elevation (m),Upper latitude,Upper longitude,Upper reservoir area (ha),Upper reservoir volume (GL),Upper dam height (m),Upper dam length (m),Upper dam volume (GL),Upper water to rock ratio,Lower Identifier,Lower elevation (m),Lower latitude,Lower longitude,Lower reservoir area (ha),Lower reservoir volume (GL),Lower dam height (m),Lower dam length (m),Lower dam volume (GL),Lower water to rock ratio,Combined water area (ha),Energy storage MWh per ha
s22_e148_RES9338 & s22_e148_RES11495,A,701,3.27,21,3.3,5,6,14.8,s22_e148_RES9338,862,-21.1106,148.5092,65,3.3,5.0,446,0.04,82.0,s22_e148_RES11495,161,-21.1422,148.5431,54,3.5,11.0,411,0.19,18.0,119,42
s22_e148_RES5478 & s22_e148_RES10309,A,769,4.47,17,3.1,5,6,6.9,s22_e148_RES5478,910,-21.0697,148.5506,35,3.1,10.7,210,0.07,44.4,s22_e148_RES10309,141,-21.1222,148.5758,41,3.1,14.3,720,0.38,8.2,76,65
s22_e148_RES7495 & s22_e148_RES11412,A,730,4.72,15,3.3,5,6,8.6,s22_e148_RES7495,870,-21.0892,148.5253,61,3.3,7.7,473,0.06,55.5,s22_e148_RES11412,140,-21.1403,148.5572,55,3.3,13.0,1199,0.32,10.2,116,43
s31_e152_RES39826 & s31_e152_RES42312,A,580,2.38,24,4.1,5,6,15.7,s31_e152_RES39826,970,-30.5739,152.0058,58,4.1,14.1,1086,0.15,26.7,s31_e152_RES42312,390,-30.6019,152.0092,43,4.3,16.1,172,0.11,37.8,101,49
s31_e152_RES30174 & s31_e152_RES32094,A,673,3.95,17,3.4,5,6,18.0,s31_e152_RES30174,734,-30.3964,152.7175,43,3.6,10.8,146,0.06,57.7,s31_e152_RES32094,61,-30.4331,152.7094,58,3.4,10.1,575,0.13,26.2,101,49
s31_e152_RES29699 & s31_e152_RES31930,A,690,3.72,19,3.4,5,6,10.0,s31_e152_RES29699,770,-30.3906,152.6864,62,3.4,11.2,628,0.26,12.9,s31_e152_RES31930,80,-30.43,152.6686,58,3.4,5.7,390,0.08,43.9,120,41
s31_e151_RES55113 & s31_e151_RES53396,A,759,4.68,16,3.0,5,6,7.3,s31_e151_RES55113,1070,-30.7167,151.8528,48,3.0,11.6,1325,0.29,10.4,s31_e151_RES53396,311,-30.6953,151.9047,40,3.2,16.6,199,0.13,24.1,88,56
s38_e148_RES11184 & s38_e148_RES14662,A,610,2.75,22,3.9,5,6,10.8,s38_e148_RES11184,1061,-37.1419,148.0917,42,3.9,9.3,1152,0.21,18.7,s38_e148_RES14662,451,-37.1831,148.1111,39,3.9,19.6,185,0.15,25.8,81,61
s22_e148_RES2180 & s22_e148_RES7716,B,790,6.18,13,3.0,5,6,9.4,s22_e148_RES2180,910,-21.0286,148.5883,30,3.1,20.2,235,0.15,20.7,s22_e148_RES7716,120,-21.0911,148.6353,49,3.0,10.1,825,0.18,17.2,79,63
s22_e148_RES7234 & s22_e148_RES11269,B,751,5.39,14,3.1,5,6,8.3,s22_e148_RES7234,872,-21.0869,148.5275,66,3.2,3.6,179,0.02,188.7,s22_e148_RES11269,121,-21.1367,148.5831,69,3.1,8.9,1691,0.35,8.7,135,37
