Pair Identifier,Class,Head (m),Separation (km),Slope (%),Volume (GL),Energy (GWh),Storage time (h),Combined water to rock ratio,Upper Identifier,Upper elevation (m),Upper latitude,Upper longitude,Upper reservoir area (ha),Upper reservoir volume (GL),Upper dam height (m),Upper dam length (m),Upper dam volume (GL),Upper water to rock ratio,Lower Identifier,Lower elevation (m),Lower latitude,Lower longitude,Lower reservoir area (ha),Lower reservoir volume (GL),Lower dam height (m),Lower dam length (m),Lower dam volume (GL),Lower water to rock ratio,Combined water area (ha),Energy storage MWh per ha
s22_e148_RES9448 & s22_e148_RES11495,A,691,3.22,21,3.4,5,18,11.1,s22_e148_RES9448,852,-21.1119,148.5061,67,3.4,13.5,210,0.1,33.0,s22_e148_RES11495,161,-21.1422,148.5431,59,3.5,11.0,411,0.21,16.8,126,39
s22_e148_RES5478 & s22_e148_RES10309,A,769,4.47,17,3.1,5,18,6.9,s22_e148_RES5478,910,-21.0697,148.5506,35,3.1,10.7,210,0.07,44.4,s22_e148_RES10309,141,-21.1222,148.5758,41,3.1,14.3,720,0.38,8.2,76,65
s22_e148_RES2180 & s22_e148_RES7716,A,790,6.18,13,3.0,5,18,9.4,s22_e148_RES2180,910,-21.0286,148.5883,30,3.1,20.2,235,0.15,20.7,s22_e148_RES7716,120,-21.0911,148.6353,49,3.0,10.1,825,0.18,17.2,79,63
s22_e148_RES7495 & s22_e148_RES11320,A,740,5.16,14,3.3,5,18,9.1,s22_e148_RES7495,870,-21.0892,148.5253,61,3.3,7.6,473,0.06,55.1,s22_e148_RES11320,130,-21.1378,148.5675,54,3.3,12.9,813,0.31,10.9,115,43
s22_e148_RES7234 & s22_e148_RES11269,A,751,5.39,14,3.1,5,18,8.3,s22_e148_RES7234,872,-21.0869,148.5275,66,3.2,3.6,179,0.02,188.7,s22_e148_RES11269,121,-21.1367,148.5831,69,3.1,8.9,1691,0.35,8.7,135,37
s42_e147_RES41535 & s42_e147_RES55131,A,800,8.96,9,2.9,5,18,10.1,s42_e147_RES41535,1011,-41.4,147.3897,66,2.9,11.2,1281,0.21,13.9,s42_e147_RES55131,211,-41.4975,147.3389,39,3.0,10.4,193,0.08,36.8,105,47
s42_e147_RES33650 & s42_e148_RES5034,A,580,4.17,14,4.1,5,18,11.6,s42_e147_RES33650,701,-41.3411,147.9517,61,4.1,19.6,1606,0.36,11.7,s42_e148_RES5034,121,-41.2828,148.0425,429,28.3,3.1,108,0.01,3610.1,490,10
s35_e150_RES36273 & s35_e150_RES42475,A,531,5.63,9,4.5,5,18,19.8,s35_e150_RES36273,631,-34.6222,150.5764,105,4.5,4.5,619,0.06,74.4,s35_e150_RES42475,100,-34.6989,150.5981,68,4.6,9.9,486,0.17,26.9,173,28
s35_e150_RES32201 & s35_e150_RES32917,A,650,6.86,9,3.7,5,18,13.7,s35_e150_RES32201,690,-34.5625,150.6025,64,4.3,2.1,296,0.01,343.9,s35_e150_RES32917,40,-34.5775,150.7083,59,3.7,11.8,723,0.26,14.3,123,40
s37_e149_RES45232 & s37_e149_RES44455,A,762,7.17,11,3.2,5,18,25.7,s37_e149_RES45232,962,-36.6217,149.4361,50,3.2,6.1,223,0.04,91.3,s37_e149_RES44455,200,-36.6119,149.5417,64,3.2,8.8,408,0.09,35.8,114,43
s37_e149_RES38430 & s37_e149_RES42000,A,788,8.94,9,3.1,5,18,26.9,s37_e149_RES38430,1080,-36.5228,149.4722,48,3.1,5.3,254,0.04,84.6,s37_e149_RES42000,292,-36.5822,149.5558,36,3.1,11.6,192,0.08,39.5,84,59
s37_e149_RES46346 & s37_e149_RES44885,A,679,5.01,14,3.4,5,18,6.4,s37_e149_RES46346,892,-36.6342,149.4464,45,3.5,20.4,452,0.27,12.9,s37_e149_RES44885,213,-36.6172,149.5175,43,3.4,13.8,593,0.27,12.8,88,56
s29_e152_RES67203 & s29_e152_RES70466,A,561,6.77,8,4.3,5,18,24.9,s29_e152_RES67203,881,-28.6642,152.1378,118,4.7,11.0,116,0.05,86.4,s29_e152_RES70466,320,-28.6917,152.2053,41,4.3,17.9,170,0.12,35.0,159,31
