Pair Identifier,Class,Head (m),Separation (km),Slope (%),Volume (GL),Energy (GWh),Storage time (h),Combined water to rock ratio,Upper Identifier,Upper elevation (m),Upper latitude,Upper longitude,Upper reservoir area (ha),Upper reservoir volume (GL),Upper dam height (m),Upper dam length (m),Upper dam volume (GL),Upper water to rock ratio,Lower Identifier,Lower elevation (m),Lower latitude,Lower longitude,Lower reservoir area (ha),Lower reservoir volume (GL),Lower dam height (m),Lower dam length (m),Lower dam volume (GL),Lower water to rock ratio,Combined water area (ha),Energy storage MWh per ha
s30_e152_RES4858 & s30_e152_RES6796,E,382,3.74,10,18.6,15,18,2.5,s30_e152_RES4858,892,-29.0514,152.1617,86,18.6,47.2,2738,3.96,4.7,s30_e152_RES6796,510,-29.0747,152.2028,51,18.8,63.8,802,3.59,5.2,137,109
s30_e152_RES70066 & s31_e152_RES1493,E,624,11.21,6,11.5,15,18,1.6,s30_e152_RES70066,1164,-29.9547,152.0511,53,11.5,41.4,2825,3.42,3.4,s31_e152_RES1493,540,-30.0181,152.1481,30,11.6,73.4,559,3.82,3.0,83,180
s30_e152_RES35177 & s30_e152_RES33296,E,220,4.02,5,32.7,15,18,4.6,s30_e152_RES35177,1120,-29.4353,152.0406,114,32.7,56.5,1657,6.5,5.0,s30_e152_RES33296,900,-29.4103,152.1158,191,33.1,34.0,497,0.63,52.3,305,49
s30_e152_RES38287 & s30_e152_RES37110,E,370,5.19,7,19.2,15,18,2.5,s30_e152_RES38287,400,-29.4794,152.5692,77,19.4,75.0,1539,5.88,3.3,s30_e152_RES37110,30,-29.4608,152.6325,174,19.2,25.3,3254,1.93,9.9,251,59
s30_e152_RES2797 & s30_e152_RES3746,E,290,5.5,5,24.6,15,18,3.4,s30_e152_RES2797,400,-29.0272,152.4767,103,24.6,52.6,2538,7.0,3.5,s30_e152_RES3746,110,-29.0375,152.5744,295,25.2,16.9,687,0.26,96.2,398,37
s30_e152_RES60729 & s30_e152_RES53907,E,461,7.79,6,15.9,15,18,2.0,s30_e152_RES60729,762,-29.8164,152.3056,47,15.9,55.6,3781,7.34,2.2,s30_e152_RES53907,301,-29.7539,152.2531,177,16.1,18.2,1092,0.72,22.4,224,66
s30_e152_RES64 & s29_e152_RES89732,E,420,6.95,6,17.0,15,18,2.3,s30_e152_RES64,560,-29.0008,152.4242,48,17.0,64.7,1682,6.9,2.5,s29_e152_RES89732,140,-28.9211,152.5117,148,17.2,25.0,509,0.6,28.9,196,76
s30_e152_RES10632 & s30_e152_RES15580,E,468,8.37,6,15.3,15,18,1.9,s30_e152_RES10632,1000,-29.1186,152.0806,88,15.3,30.5,2772,2.79,5.5,s30_e152_RES15580,532,-29.1636,152.1714,45,15.3,71.8,674,5.24,2.9,133,112
s30_e152_RES237 & s30_e152_RES691,E,440,8.56,5,16.1,15,18,2.1,s30_e152_RES237,791,-29.0028,152.2278,63,16.1,46.4,1647,4.42,3.6,s30_e152_RES691,351,-29.0069,152.3289,64,16.3,53.7,1288,3.43,4.8,127,118
s32_e138_RES1119 & s32_e138_RES2101,E,320,5.2,6,22.2,15,18,3.0,s32_e138_RES1119,490,-31.0233,138.4914,78,22.5,72.7,825,5.01,4.5,s32_e138_RES2101,170,-31.0411,138.4233,225,22.2,23.6,2632,2.42,9.2,303,49
s32_e138_RES8660 & s32_e138_RES9236,E,270,5.08,5,26.5,15,18,4.0,s32_e138_RES8660,430,-31.1767,138.5464,118,26.5,51.5,1551,4.07,6.5,s32_e138_RES9236,160,-31.1906,138.475,374,26.6,15.7,5349,2.55,10.5,492,30
s32_e138_RES10100 & s32_e138_RES10458,E,351,6.31,6,20.3,15,18,2.6,s32_e138_RES10100,491,-31.2092,138.5517,75,20.3,58.7,920,4.69,4.3,s32_e138_RES10458,140,-31.2183,138.4692,231,20.5,16.3,6551,3.06,6.7,306,49
s20_e144_RES174 & s19_e144_RES26349,E,171,2.3,7,41.0,15,18,5.5,s20_e144_RES174,731,-19.0039,144.2006,189,41.7,47.0,2873,5.91,7.0,s19_e144_RES26349,560,-18.9653,144.2289,527,41.0,22.8,2204,1.58,25.9,716,20
s43_e146_RES38461 & s43_e146_RES33592,E,389,4.63,8,18.5,15,18,2.6,s43_e146_RES38461,600,-42.5019,146.5261,89,18.5,58.9,1510,3.84,4.8,s43_e146_RES33592,211,-42.4425,146.5347,77,18.6,43.6,1369,3.34,5.6,166,90
s43_e146_RES59374 & s43_e146_RES52881,E,480,9.49,5,14.8,15,18,2.2,s43_e146_RES59374,520,-42.8008,146.9042,72,15.1,48.8,1350,4.39,3.4,s43_e146_RES52881,40,-42.7136,146.9283,117,14.8,46.6,2464,2.32,6.3,189,79
s43_e146_RES27139 & s43_e146_RES28647,E,182,3.53,5,39.3,15,18,7.0,s43_e146_RES27139,512,-42.3553,146.8953,128,39.3,62.7,641,4.4,8.9,s43_e146_RES28647,330,-42.3722,146.8372,172,39.7,53.6,254,1.25,31.7,300,50
s43_e146_RES62089 & s43_e147_RES79444,E,620,11.15,6,11.8,15,18,1.5,s43_e146_RES62089,650,-42.8553,146.9864,29,12.2,51.2,1916,6.84,1.8,s43_e147_RES79444,30,-42.7886,147.1256,106,11.8,30.3,1027,1.01,11.6,135,111
s43_e146_RES44414 & s43_e146_RES42579,E,603,10.57,6,11.6,15,18,1.6,s43_e146_RES44414,693,-42.5719,146.6331,29,12.3,59.9,1605,7.1,1.7,s43_e146_RES42579,90,-42.5506,146.7656,134,11.6,18.0,1262,0.37,31.9,163,92
s43_e146_RES25776 & s43_e146_RES28821,E,330,3.89,8,21.0,15,18,3.1,s43_e146_RES25776,690,-42.3403,146.5231,88,21.0,75.9,1593,4.62,4.6,s43_e146_RES28821,360,-42.3744,146.54,123,22.1,31.3,1135,2.28,9.7,211,71
